new_es_symbol,es_symbol,es_name,stage,qa_approved
F006XY705OR,F006XY705OR,Pinus ponderosa/Arctostaphylos patula-Chrysolepis sempervirens/Carex inops ,Provisional,yes
F006XY707OR,F006XY707OR,Pinus ponderosa/Ceanothus velutinus/Carex inops ,Provisional,yes
F022BI100CA,F022BI100CA,Low Precip Frigid Sandy Tephra Gentle Slopes ,Provisional,yes
F022BI102CA,F022BI102CA,Frigid Bouldery Glacially Scoured Ridges Or Headlands ,Provisional,yes
F022BI103CA,F022BI103CA,Frigid Tephra Over Slopes And Flats ,Provisional,yes
F022BI104CA,F022BI104CA,Cryic Coarse Loamy Colluvial Slopes ,Provisional,yes
F022BI105CA,F022BI105CA,Frigid Sandy Loam Debris Flow On Stream Terraces ,Provisional,yes
F022BI106CA,F022BI106CA,Frigid Debris Flow Gentle Slopes ,Provisional,yes
F022BI107CA,F022BI107CA,Frigid Moderately Deep Slopes ,Provisional,yes
F022BI108CA,F022BI108CA,Frigid Moist Sandy Lake Or Stream Terraces ,Provisional,yes
F022BI109CA,F022BI109CA,Frigid Deep Coarse Sandy Cinder Cone Or Shield Volcano Slopes ,Provisional,yes
F022BI110CA,F022BI110CA,Frigid Humic Loamy Gentle Slopes ,Provisional,yes
F022BI111CA,F022BI111CA,Cryic Gravelly Or Ashy Sandy Loam Gentle Slopes ,Provisional,yes
F022BI112CA,F022BI112CA,Frigid Sandy Loam Moraines Or Lake Terraces ,Provisional,yes
F022BI113CA,F022BI113CA,Frigid Very Deep Loamy Slopes ,Provisional,yes
F022BI114CA,F022BI114CA,Frigid Very Deep Cinder Cone Or Shield Volcano Slopes ,Provisional,yes
F022BI115CA,F022BI115CA,Frigid And Cryic Gravelly Slopes ,Provisional,yes
F022BI117CA,F022BI117CA,Frigid Coarse Glaciolacustrine Gentle Slopes ,Provisional,yes
F022BI118CA,F022BI118CA,Frigid Landslide Undulating Slopes ,Provisional,yes
F022BI119CA,F022BI119CA,Low Precip Frigid Sandy Moraine Slopes ,Provisional,yes
F022BI120CA,F022BI120CA,Frigid Gravelly Sandy Loam Outwash-Stream Terraces ,Provisional,yes
F022BI121CA,F022BI121CA,Frigid Shallow Or Moderately Deep Medial-Skeletal Slopes ,Provisional,yes
F022BI122CA,F022BI122CA,Frigid Extremely Gravelly Sandy Landslides ,Provisional,yes
F022BI123CA,F022BI123CA,Frigid Flat Outwash Terraces ,Provisional,yes
F022BI124CA,F022BI124CA,Upper Cryic Slopes ,Provisional,yes
F022BI125CA,F022BI125CA,Cold Frigid Tephra Over Outwash Plains Or Lake Terraces ,Provisional,yes
F022BI126CA,F022BI126CA,Cold Frigid Tephra Over Moraine Slopes ,Provisional,yes
F028BY058NV,F028BY058NV,PIMO-CELE3/ARTRV/PSSPS-POFE ,Provisional,yes
F028BY060NV,F028BY060NV,PIMO-JUOS/ARNO4/PSSPS-ACHY ,Provisional,yes
F028BY062NV,F028BY062NV,PIMO-JUOS/ARTRV/PSSPS-ACTH7 ,Provisional,yes
F028BY067NV,F028BY067NV,POTR5/SYOR2/BRMA4-ELTR7 ,Provisional,yes
F029XY058NV,F029XY058NV,PIMO-JUOS WSG 0R0507 10 to 15,Provisional,yes
F029XY065NV,F029XY065NV,PIMO-JUOS/ARTRW8 ,Provisional,yes
F029XY066NV,F029XY066NV,PIMO-JUOS WSG 1R0501 12 to 16,Provisional,yes
F029XY067NV,F029XY067NV,PIMO-JUOS WSG 0R0501 12 to 16,Provisional,yes
F029XY068NV,F029XY068NV,PIMO-JUOS/ARAR8 ,Provisional,yes
F029XY069NV,F029XY069NV,PIMO-JUOS WSG 0R0504 12 to 16,Provisional,yes
F029XY083NV,F029XY083NV,PIMO-JUOS WSG 0X0504 12 to 16,Provisional,yes
F029XY084NV,F029XY084NV,PIMO-JUOS WSG 0R0501 12 to 16,Provisional,yes
F029XY095NV,F029XY095NV,PIMO-JUOS WSG 0R0501 12 to 16,Provisional,yes
F035XA121AZ,F035XA121AZ,"Shallow Loam 10-14"" p.z.Cobbly (JUOS)",Provisional,yes
F035XA122AZ,F035XA122AZ,"Limy Upland 10-14"" p.z.Gravelly (JUOS)",Provisional,yes
F035XA126AZ,F035XA126AZ,"Sandy Loam Upland 10-14"" p.z.Gravelly (JUOS, PIMO)",Provisional,yes
F035XA127AZ,F035XA127AZ,"Shallow Limy Upland 10-14"" p.z.(JUOS)",Provisional,yes
F035XC322AZ,F035XC322AZ,"Sandstone Upland 10-14"" p.z.(JUOS)",Provisional,yes
F035XC332AZ,F035XC332AZ,"Sandy Bottom 10-14""(PODEW, SAEX), Perennial (Provisional)",Provisional,yes
